"guid","citation"
"urn:uuid:468ca34f-8c89-479b-bee3-89e7d60c61a4","ISO (n.dat.) ISO 3166 Country Codes. https://www.iso.org/iso-3166-country-codes.html"
"urn:uuid:cb36ac2e-9c32-42f6-af6b-adcdb7f2f528","ISO (n.dat) 3166-1 alpha-2. https://en.wikipedia.org/wiki/ISO_3166-1_alpha-2"
"urn:uuid:84b6b5ba-6fd0-439a-acba-34e870a2a564","DataHub (2018) List of all countries with their two digit codes (ISO 3166-1). https://datahub.io/core/country-list"
"urn:uuid:aeba764f-4927-48da-b2cb-b868c20dca0b","Chapman AD and Wieczorek JR (2020) Georeferencing Best Practices. Copenhagen: GBIF Secretariat. https://doi.org/10.15468/doc-gg7h-s853"
"urn:uuid:dca23e9c-3fbd-4bd8-ad98-8fe35a7a5ce5","Getty Research Institute (2017) Getty Thesaurus of Geographic Names Online. https://www.getty.edu/research/tools/vocabularies/tgn/index.html"
"urn:uuid:2035df3b-4533-4f91-8faa-29fe17b6b99c","GBIF Secretariat (2023) GBIF Backbone Taxonomy. Checklist dataset. https://doi.org/10.15468/39omei"
"urn:uuid:adb87907-a424-4eef-bc22-f99a6c12bc10","ISO (2019) ISO 8601-1:2019(en) Date and time — Representations for information interchange — Part 1: Basic rules. https://www.iso.org/obp/ui/"
"urn:uuid:2f947fa8-606a-46d7-a697-7ea5538d3666","Wikipedia (2020) ISO 8601. https://en.wikipedia.org/wiki/ISO_8601"
"urn:uuid:b79124d7-66eb-4175-8892-7d88bc87f433","Library of Congress (2019) Extended Date/Time Format (EDTF). https://www.loc.gov/standards/datetime/"
"urn:uuid:e404c446-3ed2-40b2-ba52-08175f3586e6","Dublin Core (2020) Dublin Core Metadata Initiative. License Document. https://www.dublincore.org/specifications/dublin-core/dcmi-terms/terms/LicenseDocument/"
"urn:uuid:4897e23f-5544-45f8-985c-0fc53de978d3","Creative Commons (n.dat.) About the Licenses. https://creativecommons.org/licenses/"
"urn:uuid:b26a2c59-ec3a-43bb-8d2d-0c16126664b3","Wikipedia (2020) List of elevations extremes by country. https://en.wikipedia.org/wiki/List_of_elevation_extremes_by_country_"
"urn:uuid:cc67baaf-13b4-4a9e-ba36-e83fb5d18e46","Wikipedia (2020) Extreme points of Antarctica. https://en.wikipedia.org/wiki/Extreme_points_of_Antarctica"
"urn:uuid:73ae49f1-12b6-4a7d-9b01-7c84d6c201a0","Chapman AD and Wieczorek, JR (2020) Georeferencing Best Practices. Copenhagen: GBIF Secretariat. https://doi.org/10.15468/doc-gg7h-s853"
"urn:uuid:393e3313-f577-42ab-bf17-14dbecafb4d3","Dublin Core (2012) DCMI Type Vocabulary. https://www.dublincore.org/specifications/dublin-core/dcmi-type-vocabulary/"
"urn:uuid:1404b05f-6c95-4e67-a517-66ca55d85a23","GBIF Secretariat (2023) GBIF Backbone Taxonomy. Checklist dataset https://doi.org/10.15468/39omei"
"urn:uuid:bb21973d-9945-4add-a498-ce25734e27ad","Wikipedia (2020) ISO 3166-1 alpha-2. https://en.wikipedia.org/wiki/ISO_3166-1_alpha-2"
"urn:uuid:8e4f8856-f348-401e-a398-fb770fb3703e","Flanders Marine Institute (2023) Maritime Boundaries Geodatabase, version 12. Available online at https://www.marineregions.org/. https://doi.org/10.14284/628"
"urn:uuid:5b80a8ef-34a2-4a8d-b0dc-8f6af08fe3a5","Kelso NV and Patterson T (2010) Introducing Natural Earth data—Naturalearthdata.com. Geographica Technica. Special issue, 2010 pp 82–89. https://technicalgeography.org/pdf/sp_i_2010/12_introducing_natural_earth_data__naturaleart.pdf"
"urn:uuid:bce3c355-0123-4baf-96d6-685f8f5340b3","Natural Earth (2022) Natural Earth Free vector and raster map data at 1:10m, 1:50m, and 1:110m scales. v5.1.2. https://www.naturalearthdata.com/,https://github.com/nvkelso/natural-earth-vector/releases/tag/v5.1.2."
"urn:uuid:38562cf7-9796-4d96-8c98-a55a459acbe9","Natural Earth (2022) Admin 1 – States, provinces. v5.1.1 2022-05-12. https://www.naturalearthdata.com/downloads/10m-cultural-vectors/10m-admin-1-states-provinces/"
"urn:uuid:38333f7d-62ee-4233-b931-83f9de03da9d","Dooley, JF Jnr. (2005) An inventory and comparison of globally consistent geospatial databases and libraries. Rome: FAO. http://www.fao.org/3/a0118e/a0118e00.htm#Contents"
"urn:uuid:88c7ee1b-b596-4488-a093-2dcc5e2d4740","WoRMS (2019) WoRMS - World Register of Marine Species. https://www.marinespecies.org/"
"urn:uuid:9dbce010-adea-4a8e-b2b8-9fb85e594651","Rees T (compiler) (2024) Interim Register of Marine and Nonmarine Genera (IRMNG) VLIZ, Belgium. https://www.irmng.org/"
"urn:uuid:eef0ae45-ad00-4dbc-b4c6-a1d39cf74558","OBIS (2024) Ocean Biodiversity Information System (OBIS). https://obis.org/"
"urn:uuid:a7142163-f542-4073-b5fc-3d3526c5b52f","Natural Earth (2022) Natural Earth Free vector and raster map data at 1:10m, 1:50m, and 1:110m scales. v5.1.2. https://github.com/nvkelso/natural-earth-vector/releases/tag/v5.1.2."
"urn:uuid:170ed219-908d-40e2-9b4b-406fa30a255e","Natural Earth (2009) Minor Islands. https//www.naturalearthdata.com/download/10m/physical/ne_10m_minor_islands.zip"
"urn:uuid:f5d0dff6-63da-418a-8824-fae6bd2508e4","Google Maps Platform (2020) Reverse Geocoding API. https://developers.google.com/maps/documentation/javascript/examples/geocoding-reverse"
"urn:uuid:14dc5a6c-50fc-48a8-9a6a-672802990000","ESRI (2020) World Administrative Divisions. https://www.arcgis.com/home/item.html?id=f0ceb8af000a4ffbae75d742538c548b"
"urn:uuid:96ef55b5-d303-4d0c-bfb7-8b3926772a59","ProgrammableWeb (2006) GeoNames API. https://www.programmableweb.com/api/geonames"
"urn:uuid:49999604-d2ad-466e-976f-59a0f9690b57","Maptiler (2019) EPSG.io. https://epsg.io/"
"urn:uuid:b6510dcf-cedd-4fe5-b1ac-331eaa80cbe6","EPSG (2024) About the EPSG Dataset. https://epsg.org/"
"urn:uuid:b2bb52e1-5cb9-4a23-bb3a-80bebee51cd3","Spatial Reference (2024) What is SpatialReference.org. https://spatialreference.org/"
"urn:uuid:2e5613fb-0202-4ce0-8615-f3b01cce4e94","Geomatic Solutions (2018) Georepository. Version 9.0.0.1062. https://georepository.com/"
"urn:uuid:74cc416c-d59f-462e-9b52-a27db97ee182","Wieczorek C and Wieczorek J (2021) Georeferencing Calculator. http://georeferencing.org/georefcalculator/gc.html"
"urn:uuid:b19c2d7d-9470-4ad7-8975-8f46f29e5209","Chapman AD (2020) Current Best Practices for Generalizing Sensitive Species Occurrence Data. Copenhagen: GBIF Secretariat. https://doi.org/10.15468/doc-5jp4-5g10."
"urn:uuid:b1a479b5-d6a0-4165-ac66-73070f5be338","VLIZ (2023) Marineregions.org. https://www.marineregions.org/downloads.php#marbound"
"urn:uuid:34a488b3-3228-4580-a540-b4fadf00aafb","Wikipedia (2024) Extreme points on Earth. https://en.wikipedia.org/wiki/Extreme_points_of_Earth"
"urn:uuid:400b66c7-6f9b-42a1-9fae-870ee5fa9d91","Wikipedia (2020) Great-circle distance. https://en.wikipedia.org/wiki/Great-circle_distance"
"urn:uuid:3e7bd589-4f2d-4044-9728-884a527e2762","GBIF (2015) Taxonomic Rank GBIF Vocabulary. https://rs.gbif.org/vocabulary/gbif/rank.xml"
"urn:uuid:1a903881-b5e3-46cf-875b-fe67d07b0576","GBIF Registry (2023) GBIF Vocabulary: Taxonomic Rank. https://registry.gbif.org/vocabulary/TaxonRank/concepts"
"urn:uuid:03cbeef6-37ab-4f0a-9aa1-76dbc8d9b6ab","Vertnet (2022) DwC Vocabs. https://github.com/VertNet/DwCVocabs/tree/master/vocabs"
"urn:uuid:f565383e-3340-4816-86ce-aa9c6e1e715c","Wikipedia (2024) LSID (Life Science Identifier). https://en.wikipedia.org/wiki/LSID"
"urn:uuid:b1ab1419-db68-47a8-8528-fc28bf20a021","Darwin Core Maintenance Group (2021) Establishment Means Controlled Vocabulary List of Terms. Biodiversity Information Standards (TDWG). http://rs.tdwg.org/dwc/doc/em/"
"urn:uuid:9df92b8b-aa3e-4431-996b-34ca12fc0ac5","Groom et al. (2019) Improving Darwin Core for research and management of alien species. Biodiversity Information Science and Standards 3: e38084. https://doi.org/10.3897/biss.3.38084"
"urn:uuid:a92ae619-d5dc-47e1-b1be-d2e4cae6008d","Darwin Core Maintenance Group (2021) Degree of Establishment Controlled Vocabulary List of Terms. Biodiversity Information Standards (TDWG). http://dwc.tdwg.org/doe/"
"urn:uuid:ef6148d0-6c8b-435d-a2d2-65a83185161a","Darwin Core Maintenance Group (2021) Pathway Controlled Vocabulary List of Terms. Biodiversity Information Standards (TDWG). https://dwc.tdwg.org/pw/"
"urn:uuid:0892e132-a5d6-43c5-8c3f-ce5c819017a7","Groom et al. (2019) Improving Darwin Core for research and management of alien species. Biodiversity Information Science and Standards 3: e38084 https://doi.org/10.3897/biss.3.38084"
"urn:uuid:bce5cff0-1bd0-4fe8-a5ea-2b69639629f2","GBIF (2015) Darwin Core Vocabulary: Sex GBIF Vocabulary. https://rs.gbif.org/vocabulary/gbif/sex.xml"
"urn:uuid:99294a4f-3708-448d-a017-7bef54868afb","GBIF (2021) Darwin Core Vocabulary: Nomenclatural Type Status Vocabulary. http://rs.gbif.org/vocabulary/gbif/type_status"
"urn:uuid:13c7d43a-cb6c-4a78-9c8e-10a50b633842","Waller JT (2023) Processing Country Centroids at the Global Biodiversity Information Facility. Biodiversity Information Science and Standards 7: e110728. https://doi.org/10.3897/biss.7.110728"
"urn:uuid:56ba4d4a-dce8-4a47-bf0b-bf530fc1578b","Veiga AK, Saraiva AM, Chapman AD, Morris PJ, Gendreau C, Schigel D, Robertson TJ (2017). A conceptual framework for quality assessment and management of biodiversity data. PLOS ONE 12(6): e0178731. https://doi.org/10.1371/journal.pone.0178731"
