"UseCase","PolicyType","PolicyGuid"
"bdqval:Biotic-Relationships","AmendmentPolicy","urn:uuid:10e8008c-c947-4327-867e-7899de98eb2c"
"bdqval:Biotic-Relationships","IssuePolicy","urn:uuid:3400d096-4b78-4c17-add4-0c42fd20267f"
"bdqval:Biotic-Relationships","ValidationPolicy","urn:uuid:089b6974-1a6e-438a-a8f3-19f2e2dd1d2d"
"bdqval:Biotic-Relationships","MeasurementPolicy","urn:uuid:5ec36d8f-d7c7-4508-9802-03a3ca8b275d"
"bdqval:Spatial-Temporal_Patterns","AmendmentPolicy","urn:uuid:05b21497-a98f-4024-af0e-36d8de5cc317"
"bdqval:Spatial-Temporal_Patterns","IssuePolicy","urn:uuid:26fdef6a-c268-40f2-aaaf-a8ac930bcf86"
"bdqval:Spatial-Temporal_Patterns","MeasurementPolicy","urn:uuid:08c7162d-11af-481b-bee1-738c9ac2fc68"
"bdqval:Spatial-Temporal_Patterns","ValidationPolicy","urn:uuid:0053ca4f-7d45-41ea-912e-c8847bb70142"
"bdqval:Taxon-Management","ValidationPolicy","urn:uuid:022bd662-3052-4771-8e54-f4f74803ccc5"
"bdqval:Taxon-Management","AmendmentPolicy","urn:uuid:1658c511-65cb-4249-95a7-333cb3bb2555"
"bdqval:Taxon-Management","MeasurementPolicy","urn:uuid:fc3880d3-3e8f-4820-8e8e-1b1c089c7188"
"bdqval:Alien-Species","AmendmentPolicy","urn:uuid:37f907b3-08a2-4402-8267-3547e4851055"
"bdqval:Alien-Species","IssuePolicy","urn:uuid:3a854944-f3dd-4bd0-a764-8db0cdef735e"
"bdqval:Alien-Species","MeasurementPolicy","urn:uuid:de99e16d-0f7e-4f57-bd52-bfabe38656f2"
"bdqval:Alien-Species","ValidationPolicy","urn:uuid:89642447-9c7a-490c-b377-96247dcb3a8e"
"bdqval:Record-Management","AmendmentPolicy","urn:uuid:77ebe6f3-2fd8-457b-8a3b-c1e6285c0bc5"
"bdqval:Record-Management","IssuePolicy","urn:uuid:68924076-d5d3-4716-8bb4-dfc4d3272e09"
"bdqval:Record-Management","MeasurementPolicy","urn:uuid:10fbc0cb-81e3-4913-9c47-25dbbc9ae407"
"bdqval:Record-Management","ValidationPolicy","urn:uuid:12719a4b-7a64-4b5a-aa1b-d3f37001b8d6"
"bdqval:SDM-Trees","ValidationPolicy","urn:uuid:3e97fe1a-e797-4ee5-ad12-bfa42a6071e2"
"bdqval:SDM-Trees","AmendmentPolicy","urn:uuid:9b881942-1a8d-42a9-8973-006b5772d72b"
"bdqval:SDM-Trees","IssuePolicy","urn:uuid:af48deb9-ed5e-4f57-afc1-5a7fc7faf108"
"bdqval:SDM-Trees","MeasurementPolicy","urn:uuid:8d7e13ee-cd98-432e-b94a-6b86bc89141b"
"bdquc:Spatial-Temporal_Patterns","ValidationPolicy","urn:uuid:0348eccf-fc7f-49b3-88b6-1d911e98cbbb"
"bdquc:Taxon-Management","ValidationPolicy","urn:uuid:9c87ce41-04a3-45e6-83d3-95ec70ae553f"
"bdquc:Spatial-Temporal_Patterns","AmendmentPolicy","urn:uuid:f03dcc89-5e2b-41bc-b1d8-5a319fb18d22"
"bdquc:Taxon-Management","AmendmentPolicy","urn:uuid:f44333a6-6c09-42f7-bb14-82540abcbff5"
"bdquc:Alien-Species","ValidationPolicy","urn:uuid:3a640869-d2ea-4447-8e42-06ddb217066c"
"bdquc:SDM-Trees","ValidationPolicy","urn:uuid:d001ff0b-ade0-4a73-b281-e92ae0129bec"
"bdquc:Spatial-Temporal_Patterns","MeasurementPolicy","urn:uuid:962109a0-205f-4ea9-b7df-39ad3a5fc503"
"bdquc:Taxon-Management","MeasurementPolicy","urn:uuid:fb38e63c-daaa-45da-abc3-7fe967dc4092"
"bdquc:Alien-Species","AmendmentPolicy","urn:uuid:bf24b955-7497-4d9e-b42e-2706e5bf0d48"
"bdquc:SDM-Trees","AmendmentPolicy","urn:uuid:60c7e911-e72e-421f-be9b-4fb81eef1a54"
"bdquc:Spatial-Temporal_Patterns","IssuePolicy","urn:uuid:506a7fe1-a97e-4ab4-b477-06419ed9b5a3"
"bdquc:SDM-Trees","IssuePolicy","urn:uuid:62aa9551-8412-4ee9-a58d-dd6baea1dc35"
"bdquc:Alien-Species","IssuePolicy","urn:uuid:c06368d9-fff3-4b51-8283-e0e4803d1cf3"
"bdquc:Alien-Species","MeasurementPolicy","urn:uuid:89332ae7-a4d0-437a-9c15-b3cba92fb36d"
"bdquc:SDM-Trees","MeasurementPolicy","urn:uuid:9949edb2-4376-40af-8e7b-41547bd6bbe9"
"bdquc:Spatial-Temporal_patterns","MeasurementPolicy","urn:uuid:b40bd8e6-5b40-420c-85af-3e6ece2b5142"
