"namespace","namespace:Term","Term","Definition","Context","Comment",
"bdqffdq","bdqffdq:ActedUpon","ActedUpon","The subtype of bdqffdq:InformationElement about which a test is making quality assertions.  InformationElements may also be bdqffdq:Consulted.  Data quality reports may wish to distinguish the ActedUpon terms of tests in a way that is distinct from bdqffdq:Consulted terms.","FFU Framework: Class","Subtype of information element, extending (Veiga et al. 2017) to allow reports to distinguish which information elements data quality assertions pertain to.",
"bdqffdq","bdqffdq:Amendment","Amendment","A Data Quality needs level concept that describes a run of a test that proposes changes based on some data quality enhancement. The AMENDMENT concept in the Tests involves data that were amended by modification or addition of a value or values following defined bdqffdq:Criteria of a run result (bdq:Response) that includes a status of (bdq:AMENDED, bdq:FILLED_IN, bdq:TRANSPOSED, etc) as well as the proposed changes to values from the original data (in bdq:Response.value).","FFU Framework: Class","Formally in the Fitness for Use Framework (Veiga et al. 2017), the description of a test that can propose a change is a bdqffdq:Enhancement, while the corresponding report level concept is a bdqffdq:Amendment.",
"bdqffdq","bdqffdq:AmendmentMethod","AmendmentMethod","A Data Quality solutions level concept describing the relationship between a bdqffdq:Specification (technical description of a test) and a bdqffdq:Enhancement in the context of bdqffdq:ResourceType (bdqffdq:SingleRecord or bdqffdq:MultiRecord) and associated bdqffdq:InformationElements.","FFU Framework: Class","From Veiga et al. (2017).",
"bdqffdq","bdqffdq:AmendmentPolicy","AmendmentPolicy","A Data Quality needs level concept that describes how some bdqffdq:contextualizedEnhancement relates to a bdqffdq:UseCase. This relationship defines which amendments are supported by a given use case.","FFU Framework: Class","From Veiga et al. (2017).",
"bdqffdq","bdqffdq:AmendmentReport","AmendmentReport","A Data Quality report level concept that results from a bdqffdq:Amendment that proposed changes to a bdqffdq:InformationElement.","FFU Framework: Class","From Veiga et al. (2017).",
"bdqffdq","bdqffdq:Assertion","Assertion","The bdqffdq:Assertion type in FFDQ is the fundamental concept that makes up a bdqffdq:DataQualityReport. bdqffdq:Assertion can be any one of four types (represented as subClasses), bdqffdq:Measure, bdqffdq:Validation, bdqffdq:Issue, and bdqffdq:Amendement.","FFU Framework: Class","Veiga et al. (2017). The assertion concept consists of a bdqffdq:Specification (the technical description of a performed test), a bdqffdq:DataResource (initial values of input data expressed in terms of some controlled vocabulary), the bdqffdq:Mechanism (external service, actor, or code that performs the test), and some form of bdqffdq:Result.",
"bdqffdq","bdqffdq:Consulted","Consulted","The subtype of bdqffdq:InformationElement that is referenced in a test but is not one about which the test is making a quality assertion.  InformationElements may also be bdqffdq:ActedUpon.  Data quality reports may wish to distinguish the ActedUpon terms of tests in a way that is distinct from bdqffdq:Consulted terms.","FFU Framework: Class","Subtype of information element, extending (Veiga et al. 2017) to allow reports to distinguish which information elements data quality assertions do not pertain directly to.",
"bdqffdq","bdqffdq:ContextualizedCriterion","ContextualizedCriterion","Describes an instance of the criterion concept in terms of the associated bdqffdq:InformationElements from some controlled vocabulary (fields actedUpon or consulted), and a bdqffdq:ResourceType of bdqffdq:SingleRecord or bdqffdq:MultiRecord.","FFU Framework: Class","From Veiga et al. (2017).",
"bdqffdq","bdqffdq:ContextualizedDimension","ContextualizedDimension","Describes an instance of the bdqffdq:Dimension concept in terms of the associated bndqffdq:InformationElements from some controlled vocabulary (fields actedUpon or consulted), and a bdqffdq:ResourceType of bdqffdq:SingleRecord or bdqffdq:MultiRecord.","FFU Framework: Class","Veiga et al. (2017). The assertion concept consists of a bdqffdq:Specification (the technical description of a performed test), a bdqffdq:DataResource (initial values of input data expressed in terms of some controlled vocabulary), the bdqffdq:Mechanism (external service, actor, or code that performs the test), and some form of bdqffdq:Result.",
"bdqffdq","bdqffdq:ContextualizedEnhancement","ContextualizedEnhancement","Describes an instance of the bdqffdq:Enhancement concept in terms of the associated bdqffdq:InformationElements from some controlled vocabulary (fields actedUpon or consulted), and a bdqffdq:ResourceType of bdqffdq:SingleRecord or bdqffdq:MultiRecord.","FFU Framework: Class","From Veiga et al. (2017).",
"bdqffdq","bdqffdq:ContextualizedIssue","ContextualizedIssue","Describes an instance of the bdqffdq:Issue concept in terms of the associated bdqffdq:InformationElements from some controlled vocabulary (fields actedUpon or consulted), and a bdqffdq:ResourceType of bdqffdq:SingleRecord or bdqffdq:MultiRecord.","FFU Framework: Class","From Veiga et al. (2017).",
